shapeid,x,y
6,-5.3508,36.2077
6,-5.3507,36.2077
6,-5.3505,36.2077
6,-5.3505,36.2078
6,-5.3504,36.2078
6,-5.3503,36.2078
6,-5.3501,36.2078
6,-5.35,36.2077
6,-5.3499,36.2077
6,-5.3477,36.2073
6,-5.3476,36.2073
6,-5.3475,36.2073
6,-5.3474,36.2072
6,-5.3473,36.2072
6,-5.3472,36.2072
6,-5.3471,36.2071
6,-5.347,36.2071
6,-5.3469,36.207
6,-5.3468,36.207
6,-5.3468,36.2069
6,-5.3467,36.2068
6,-5.3466,36.2068
6,-5.3466,36.2067
6,-5.3465,36.2066
6,-5.3464,36.2065
6,-5.3463,36.2065
6,-5.3436,36.2025
6,-5.3432,36.2024
6,-5.33,36.2035
6,-5.3301,36.2033
6,-5.3268,36.202
6,-5.3293,36.1981
6,-5.3341,36.1878
6,-5.3399,36.1298
6,-5.3391,36.1238
6,-5.342,36.1105
6,-5.3502,36.1193
6,-5.3666,36.1632
6,-5.3825,36.1723
6,-5.4061,36.1792
6,-5.4254,36.1798
6,-5.4287,36.17
6,-5.4379,36.1615
6,-5.4401,36.1552
6,-5.4405,36.1557
6,-5.4603,36.1799
6,-5.4645,36.182
6,-5.4645,36.1821
6,-5.4606,36.1895
6,-5.4606,36.1896
6,-5.4312,36.1932
6,-5.3937,36.2179
6,-5.3904,36.2185
6,-5.388,36.2203
6,-5.3868,36.2265
6,-5.384,36.2318
6,-5.3777,36.2328
6,-5.3704,36.2306
7,4.5019,43.9071
7,4.5288,43.8924
7,4.5376,43.879
7,4.5376,43.8789
7,4.5353,43.8515
7,4.5352,43.8515
7,4.5051,43.8597
7,4.4934,43.8604
7,4.4797,43.8515
7,4.4802,43.8327
7,4.5123,43.826
7,4.513,43.8071
7,4.5129,43.8071
7,4.4848,43.808
7,4.4797,43.8071
7,4.4799,43.7951
7,4.4912,43.7752
7,4.4909,43.7626
7,4.4908,43.7626
7,4.4814,43.7552
7,4.447,43.7423
7,4.4352,43.7293
7,4.4351,43.7293
7,4.4301,43.7329
7,4.413,43.7404
7,4.3811,43.7671
7,4.3546,43.7782
7,4.3241,43.7737
7,4.3205,43.7694
7,4.3162,43.7562
7,4.3131,43.7515
7,4.3083,43.7508
7,4.295,43.7526
7,4.2908,43.7515
7,4.2873,43.7435
7,4.2841,43.7253
7,4.2798,43.7182
7,4.2963,43.7109
7,4.3286,43.7305
7,4.3575,43.7294
7,4.3575,43.7293
7,4.3576,43.7293
7,4.3564,43.7222
7,4.3592,43.7023
7,4.3576,43.696
7,4.3575,43.6959
7,4.3528,43.695
7,4.3395,43.697
7,4.3352,43.6959
7,4.3348,43.6916
7,4.3362,43.6773
7,4.3352,43.6737
7,4.3177,43.6709
7,4.2984,43.6732
7,4.281,43.6786
7,4.2663,43.6863
7,4.2663,43.6864
7,4.2564,43.6943
7,4.2573,43.6959
7,4.2483,43.6953
7,4.2302,43.6891
7,4.2242,43.6848
7,4.224,43.6828
7,4.2244,43.6755
7,4.2244,43.6754
7,4.2242,43.6737
7,4.2241,43.6737
7,4.2088,43.6752
7,4.199,43.6818
7,4.1905,43.6842
7,4.1797,43.6737
7,4.1629,43.6458
7,4.1575,43.6404
7,4.1292,43.6349
7,4.1291,43.6349
7,4.0691,43.6434
7,4.0354,43.6404
7,4.0339,43.628
7,4.0404,43.6232
7,4.05,43.6215
7,4.0575,43.6182
7,4.0576,43.6182
7,4.0595,43.6119
7,4.0808,43.6142
7,4.0771,43.6188
7,4.0861,43.6336
7,4.0862,43.6336
7,4.1008,43.6349
7,4.1115,43.6309
7,4.1206,43.6254
7,4.1306,43.6225
7,4.1607,43.6275
7,4.1608,43.6275
7,4.1644,43.619
7,4.164,43.5892
7,4.1867,43.5943
7,4.2147,43.6216
7,4.2147,43.6217
7,4.2417,43.6225
7,4.2513,43.6023
7,4.2543,43.5846
7,4.2511,43.5691
7,4.2417,43.5558
7,4.2312,43.5459
7,4.2307,43.5447
7,4.2103,43.5413
7,4.1916,43.543
7,4.1758,43.5399
7,4.1641,43.5226
7,4.1666,43.5238
7,4.1705,43.5209
7,4.1741,43.516
7,4.1741,43.5159
7,4.1751,43.5113
7,4.1693,43.5069
7,4.1576,43.4958
7,4.1578,43.4955
7,4.1578,43.4954
7,4.1579,43.4954
7,4.1579,43.4952
7,4.158,43.4951
7,4.158,43.495
7,4.158,43.4949
7,4.158,43.4947
7,4.1581,43.4947
7,4.1581,43.4946
7,4.1581,43.4944
7,4.1581,43.4943
7,4.1581,43.4942
7,4.158,43.4942
7,4.158,43.494
7,4.158,43.4939
7,4.158,43.4938
7,4.1579,43.4937
7,4.1579,43.4935
7,4.1578,43.4935
7,4.1578,43.4934
7,4.1577,43.4933
7,4.1577,43.4932
7,4.1472,43.479
7,4.1471,43.479
7,4.1328,43.487
7,4.1172,43.5105
7,4.1328,43.5328
7,4.1312,43.5362
7,4.1053,43.5519
7,4.0475,43.5561
7,3.9909,43.5508
7,3.953,43.5399
7,3.9393,43.5325
7,3.7399,43.4128
7,3.6725,43.3911
7,3.6724,43.3912
7,3.6724,43.3913
7,3.6724,43.3915
7,3.6724,43.3916
7,3.6724,43.3917
7,3.6724,43.3919
7,3.6739,43.4077
7,3.6739,43.4078
7,3.6739,43.4079
7,3.6739,43.408
7,3.674,43.4081
7,3.674,43.4082
7,3.6741,43.4083
7,3.6741,43.4084
7,3.6741,43.4085
7,3.6742,43.4086
7,3.6742,43.4087
7,3.6743,43.4088
7,3.6744,43.4089
7,3.6745,43.409
7,3.675,43.414
7,3.6686,43.4182
7,3.6293,43.4102
7,3.601,43.3914
7,3.5576,43.3404
7,3.5596,43.3373
7,3.5596,43.3374
7,3.5597,43.3374
7,3.5599,43.3375
7,3.56,43.3376
7,3.5601,43.3376
7,3.5601,43.3377
7,3.5602,43.3377
7,3.5603,43.3377
7,3.5603,43.3378
7,3.5605,43.3378
7,3.5606,43.3378
7,3.5607,43.3378
7,3.5609,43.3378
7,3.561,43.3378
7,3.5611,43.3378
7,3.5613,43.3378
7,3.5614,43.3378
7,3.5615,43.3378
7,3.5616,43.3377
7,3.5618,43.3377
7,3.5619,43.3377
7,3.5619,43.3376
7,3.562,43.3376
7,3.5621,43.3375
7,3.5622,43.3374
7,3.5623,43.3374
7,3.5624,43.3373
7,3.5669,43.3329
7,3.5134,43.2811
7,3.4924,43.2743
7,3.4524,43.2888
7,3.4284,43.2855
7,3.3854,43.2839
7,3.3177,43.2631
7,3.2443,43.2194
7,3.2275,43.2043
7,3.221,43.1952
7,3.2073,43.1866
7,3.1959,43.1767
7,3.1787,43.1652
7,3.1659,43.1524
7,3.1545,43.1353
7,3.136,43.121
7,3.114,43.1063
7,3.1042,43.0878
7,3.096,43.0726
7,3.086,43.054
7,3.0851,43.0524
7,3.0847,43.0541
7,3.0848,43.0716
7,3.0799,43.0848
7,3.0729,43.0919
7,3.0729,43.092
7,3.0577,43.1182
7,3.0546,43.1205
7,3.0511,43.1212
7,3.0481,43.123
7,3.0481,43.1231
7,3.0465,43.1293
7,3.0465,43.1404
7,3.0236,43.1404
7,2.9972,43.1207
7,2.9799,43.1182
7,2.9763,43.1216
7,2.9715,43.1358
7,2.9688,43.1404
7,2.9608,43.1433
7,2.9412,43.1469
7,2.9411,43.1469
7,2.9354,43.1515
7,2.9299,43.1927
7,2.9483,43.2253
7,2.988,43.2433
7,3.0466,43.2404
7,3.0544,43.2465
7,3.057,43.2576
7,3.0577,43.2848
7,3.0577,43.2849
7,3.091,43.2626
7,3.0911,43.2626
7,3.1075,43.2352
7,3.1132,43.2293
7,3.1205,43.2278
7,3.1465,43.2293
7,3.1801,43.2153
7,3.191,43.2182
7,3.191,43.2404
7,3.2048,43.2357
7,3.2206,43.2305
7,3.2345,43.2302
7,3.2429,43.2352
7,3.2382,43.2415
7,3.2354,43.2403
7,3.2353,43.2403
7,3.2353,43.2404
7,3.2377,43.2567
7,3.244,43.2731
7,3.246,43.2897
7,3.2353,43.307
7,3.2264,43.308
7,3.208,43.296
7,3.2021,43.2959
7,3.202,43.2959
7,3.202,43.307
7,3.1844,43.2956
7,3.1596,43.2697
7,3.1355,43.2626
7,3.1354,43.2626
7,3.1326,43.2708
7,3.1132,43.2848
7,3.1131,43.2848
7,3.1122,43.2865
7,3.1037,43.2968
7,3.1022,43.2959
7,3.1021,43.2959
7,3.1042,43.304
7,3.1042,43.3041
7,3.1242,43.3182
7,3.1331,43.3438
7,3.1446,43.352
7,3.1687,43.3515
7,3.1552,43.3741
7,3.1335,43.3884
7,3.0799,43.407
7,3.0799,43.4071
7,3.0876,43.42
7,3.1125,43.4254
7,3.1405,43.4244
7,3.1576,43.4182
7,3.1577,43.4182
7,3.1577,43.4071
7,3.2021,43.4071
7,3.2079,43.4046
7,3.2174,43.3976
7,3.2243,43.396
7,3.2799,43.4071
7,3.3215,43.3954
7,3.3353,43.396
7,3.3354,43.396
7,3.3422,43.3882
7,3.3471,43.3587
7,3.3655,43.3464
7,3.3681,43.3345
7,3.3688,43.3071
7,3.4243,43.3071
7,3.4267,43.3208
7,3.4172,43.3601
7,3.4132,43.3626
7,3.4131,43.3626
7,3.4131,43.3627
7,3.4224,43.3796
7,3.4224,43.3797
7,3.4444,43.3864
7,3.4463,43.3959
7,3.4427,43.4094
7,3.4388,43.4168
7,3.4027,43.4473
7,3.3914,43.4485
7,3.3577,43.4403
7,3.3576,43.4403
7,3.3576,43.4404
7,3.363,43.46
7,3.3785,43.4695
7,3.3975,43.4756
7,3.4131,43.4849
7,3.4144,43.4907
7,3.4103,43.4935
7,3.4021,43.4959
7,3.4027,43.5022
7,3.4027,43.5023
7,3.4068,43.5051
7,3.4112,43.5062
7,3.4131,43.5071
7,3.408,43.5513
7,3.4131,43.5627
7,3.4132,43.5627
7,3.4379,43.5575
7,3.4408,43.5437
7,3.4381,43.5255
7,3.4464,43.5071
7,3.4622,43.508
7,3.473,43.5139
7,3.4788,43.5247
7,3.4798,43.5404
7,3.4798,43.5405
7,3.4799,43.5405
7,3.4849,43.5382
7,3.4888,43.5323
7,3.4911,43.5249
7,3.4911,43.5248
7,3.491,43.5181
7,3.4761,43.463
7,3.4799,43.4404
7,3.4881,43.4323
7,3.5106,43.4321
7,3.5243,43.4294
7,3.5243,43.4293
7,3.5266,43.4267
7,3.5266,43.4266
7,3.5273,43.4231
7,3.5293,43.4199
7,3.5354,43.4182
7,3.5412,43.4145
7,3.5413,43.4145
7,3.5466,43.396
7,3.5556,43.3968
7,3.5741,43.4028
7,3.5798,43.4071
7,3.5805,43.4117
7,3.5786,43.4251
7,3.5798,43.4293
7,3.5798,43.4294
7,3.5821,43.4297
7,3.589,43.4288
7,3.5909,43.4293
7,3.6047,43.4626
7,3.6131,43.4737
7,3.6205,43.4784
7,3.6465,43.4849
7,3.6568,43.4917
7,3.6912,43.528
7,3.6909,43.5293
7,3.6909,43.5294
7,3.7013,43.5298
7,3.7159,43.5208
7,3.7242,43.5182
7,3.7511,43.5256
7,3.7571,43.5205
7,3.7571,43.5204
7,3.7576,43.496
7,3.7683,43.4963
7,3.7822,43.5047
7,3.7909,43.5071
7,3.7853,43.5332
7,3.7482,43.5548
7,3.7354,43.5737
7,3.7354,43.5738
7,3.7343,43.5879
7,3.7371,43.5992
7,3.7492,43.6228
7,3.7556,43.6273
7,3.7575,43.6293
7,3.7581,43.6345
7,3.7565,43.6465
7,3.7575,43.6515
7,3.7643,43.6579
7,3.7839,43.6678
7,3.7909,43.6738
7,3.7945,43.6822
7,3.7977,43.6997
7,3.8019,43.707
7,3.8019,43.7071
7,3.8237,43.7241
7,3.8356,43.7292
7,3.8465,43.7294
7,3.8536,43.7528
7,3.8401,43.7879
7,3.8465,43.8071
7,3.8465,43.8072
7,3.8572,43.8073
7,3.8712,43.7977
7,3.8798,43.796
7,3.8945,43.8034
7,3.9094,43.8148
7,3.9262,43.8196
7,3.9465,43.8072
7,3.9465,43.8071
7,3.9431,43.7855
7,3.9431,43.7854
7,3.9301,43.7733
7,3.9143,43.7642
7,3.9021,43.7515
7,3.9008,43.7391
7,3.907,43.7344
7,3.9164,43.7326
7,3.9242,43.7293
7,3.9243,43.7293
7,3.9246,43.7271
7,3.9239,43.72
7,3.9243,43.7182
7,3.9373,43.7162
7,3.9665,43.72
7,3.9666,43.72
7,3.9797,43.7182
7,3.9798,43.7182
7,3.9818,43.716
7,3.9818,43.7159
7,3.983,43.7126
7,3.9853,43.7092
7,3.9909,43.7071
7,4.0234,43.7072
7,4.113,43.7293
7,4.106,43.7435
7,4.0851,43.7605
7,4.0796,43.7737
7,4.0822,43.7906
7,4.113,43.8293
7,4.1131,43.8293
7,4.1292,43.8205
7,4.141,43.8072
7,4.1471,43.7883
7,4.1464,43.7627
7,4.1877,43.7685
7,4.2221,43.7814
7,4.2796,43.8182
7,4.2823,43.8296
7,4.2741,43.8358
7,4.2574,43.8403
7,4.2574,43.8404
7,4.261,43.8573
7,4.2736,43.8762
7,4.2737,43.8762
7,4.2947,43.8938
7,4.2948,43.8938
7,4.3241,43.9071
7,4.3354,43.9074
7,4.3355,43.9074
7,4.3561,43.8983
7,4.3686,43.896
7,4.3834,43.8977
7,4.413,43.9071
7,4.4584,43.9045
7,4.4686,43.9071
7,4.4686,43.9181
7,4.4686,43.9182
7,4.494,43.9193
7,4.5019,43.9182
7,4.5019,43.9181
7,4.5023,43.9164
7,4.5017,43.9092
7,3.0895,43.1639
7,3.0911,43.1516
7,3.1207,43.1542
7,3.1403,43.1713
7,3.1436,43.1923
7,3.1243,43.207
7,3.1199,43.1999
7,3.1168,43.1819
7,3.1132,43.1737
7,3.106,43.1704
7,3.0963,43.1687
8,2.9975,43.0559
8,2.9999,43.0555
8,3.0063,43.0564
8,3.0064,43.0564
8,3.0086,43.0559
8,3.0086,43.0558
8,3.009,43.0536
8,3.0082,43.0466
8,3.0086,43.0448
8,3.0134,43.0443
8,3.0269,43.0459
8,3.0309,43.0448
8,3.0309,43.0447
8,3.0306,43.0353
8,3.0309,43.0336
8,3.0477,43.0336
8,3.0738,43.0401
8,3.077,43.0384
8,3.0704,43.0269
8,3.0632,43.0084
8,3.0595,43.0001
8,3.0389,43
8,2.9894,43.0227
8,2.953,43.0225
8,2.945,43.0368
8,2.9425,43.0454
8,2.9419,43.0558
8,2.942,43.0558
8,2.942,43.0559
8,2.9546,43.0636
8,2.9681,43.0661
8,2.9826,43.0635
9,3.0521,42.8795
9,3.0418,42.879
9,3.0418,42.8791
9,3.0401,42.8914
9,3.0334,42.8976
9,3.0085,42.9002
9,3.0085,42.9003
9,3.007,42.9241
9,3.0127,42.9406
9,3.0308,42.967
9,3.0309,42.967
9,3.0412,42.9627
9,3.0454,42.962
9,3.039,42.9428
9,3.0418,42.9328
9,3.0547,42.9271
9,3.0561,42.9071
10,2.9524,42.8467
10,2.955,42.841
10,2.9953,42.8059
10,3.0076,42.8032
10,3.0197,42.8114
10,3.0204,42.8161
10,3.0203,42.8168
10,3.0204,42.8168
10,3.0244,42.8151
10,3.0435,42.8144
10,3.0405,42.7902
10,3.039,42.7503
10,3.0433,42.7246
10,3.0376,42.6832
10,3.0418,42.6291
10,3.0462,42.5877
10,3.0518,42.5549
10,3.0661,42.5421
10,3.0875,42.5349
10,3.1146,42.5306
10,3.1374,42.5249
10,3.1459,42.515
10,3.1459,42.5035
10,3.1431,42.4921
10,3.1502,42.4822
10,3.1602,42.475
10,3.1759,42.4565
10,3.1816,42.4351
10,3.1787,42.418
10,3.1702,42.3966
10,3.1745,42.3809
10,3.1745,42.3638
10,3.1873,42.3495
10,3.2042,42.3396
10,3.2265,42.3425
10,3.2498,42.3432
10,3.263,42.3292
10,3.2699,42.3292
10,3.2806,42.3369
10,3.2937,42.335
10,3.3177,42.323
10,3.294,42.288
10,3.2904,42.2781
10,3.287,42.2629
10,3.2794,42.2556
10,3.2704,42.2501
10,3.263,42.2399
10,3.2472,42.2457
10,3.2101,42.2397
10,3.1787,42.2497
10,3.1702,42.2597
10,3.1516,42.2568
10,3.1303,42.2397
10,3.1255,42.2307
10,3.0975,42.2335
10,3.0836,42.238
10,3.0642,42.2509
10,3.0531,42.2557
10,3.053,42.2557
10,3.053,42.2558
10,3.0608,42.2701
10,3.0633,42.2787
10,3.0641,42.2891
10,3.0642,42.2891
10,3.1187,42.2854
10,3.1307,42.2781
10,3.1314,42.2948
10,3.1249,42.3238
10,3.1274,42.3378
10,3.1474,42.3474
10,3.148,42.3532
10,3.1418,42.3669
10,3.1415,42.3693
10,3.1423,42.3758
10,3.1418,42.378
10,3.1333,42.387
10,3.1292,42.3942
10,3.1307,42.4003
10,3.1308,42.4003
10,3.133,42.4005
10,3.1401,42.3999
10,3.1418,42.4003
10,3.15,42.4233
10,3.1529,42.4225
10,3.1494,42.4303
10,3.1282,42.4597
10,3.1282,42.4598
10,3.1277,42.4632
10,3.1259,42.4656
10,3.0863,42.478
10,3.0814,42.4851
10,3.0814,42.4852
10,3.0789,42.5023
10,3.0753,42.5113
10,3.0732,42.5118
10,3.0664,42.5109
10,3.0642,42.5113
10,3.0641,42.5113
10,3.0641,42.5114
10,3.053,42.5335
10,3.041,42.5356
10,2.9873,42.5308
10,2.9725,42.5238
10,2.9642,42.5224
10,2.8975,42.5335
10,2.8833,42.5303
10,2.8648,42.5126
10,2.8642,42.5114
10,2.8641,42.5114
10,2.8641,42.5113
10,2.7975,42.5001
10,2.749,42.4774
10,2.731,42.478
10,2.7309,42.478
10,2.7238,42.4871
10,2.7231,42.4977
10,2.7375,42.5406
10,2.7451,42.5527
10,2.7567,42.5609
10,2.8181,42.5801
10,2.842,42.5781
10,2.8528,42.5838
10,2.8538,42.5995
10,2.8571,42.6128
10,2.8753,42.6114
10,2.8703,42.6257
10,2.842,42.6557
10,2.8303,42.652
10,2.8086,42.6225
10,2.8039,42.6218
10,2.7905,42.6235
